Eval num_timesteps=20000, episode_reward=-325966.58 +/- 0.00
Eval num_timesteps=40000, episode_reward=-333150.34 +/- 0.00
Eval num_timesteps=60000, episode_reward=-329342.18 +/- 0.00
Eval num_timesteps=80000, episode_reward=-339842.86 +/- 0.00
Eval num_timesteps=100000, episode_reward=-327146.49 +/- 0.00
Eval num_timesteps=120000, episode_reward=-325090.54 +/- 0.00
Eval num_timesteps=140000, episode_reward=-310079.61 +/- 0.00
Eval num_timesteps=160000, episode_reward=-321085.92 +/- 0.00
Eval num_timesteps=180000, episode_reward=-318106.95 +/- 0.00
Eval num_timesteps=200000, episode_reward=-313644.03 +/- 0.00
Eval num_timesteps=220000, episode_reward=-309289.67 +/- 0.00
Eval num_timesteps=240000, episode_reward=-312287.51 +/- 0.00
Eval num_timesteps=260000, episode_reward=-310114.03 +/- 0.00
Eval num_timesteps=280000, episode_reward=-303225.10 +/- 0.00
Eval num_timesteps=300000, episode_reward=-309495.69 +/- 0.00
Eval num_timesteps=320000, episode_reward=-316721.54 +/- 0.00
Eval num_timesteps=340000, episode_reward=-316951.74 +/- 0.00
Eval num_timesteps=360000, episode_reward=-311003.60 +/- 0.00
Eval num_timesteps=380000, episode_reward=-306694.29 +/- 0.00
Eval num_timesteps=400000, episode_reward=-292349.23 +/- 0.00
Eval num_timesteps=420000, episode_reward=-283256.33 +/- 0.00
Eval num_timesteps=440000, episode_reward=-338983.85 +/- 0.00
Eval num_timesteps=460000, episode_reward=-344817.28 +/- 0.00
Eval num_timesteps=480000, episode_reward=-336793.48 +/- 0.00
Eval num_timesteps=500000, episode_reward=-330032.12 +/- 0.00
Eval num_timesteps=520000, episode_reward=-315679.44 +/- 0.00
Eval num_timesteps=540000, episode_reward=-302964.37 +/- 0.00
Eval num_timesteps=560000, episode_reward=-300291.02 +/- 0.00
Eval num_timesteps=580000, episode_reward=-303432.39 +/- 0.00
Eval num_timesteps=600000, episode_reward=-301060.66 +/- 0.00
Eval num_timesteps=620000, episode_reward=-290675.41 +/- 0.00
Eval num_timesteps=640000, episode_reward=-296167.65 +/- 0.00
Eval num_timesteps=660000, episode_reward=-294523.88 +/- 0.00
Eval num_timesteps=680000, episode_reward=-291660.43 +/- 0.00
Eval num_timesteps=700000, episode_reward=-314842.10 +/- 0.00
Eval num_timesteps=720000, episode_reward=-307420.83 +/- 0.00
Eval num_timesteps=740000, episode_reward=-303002.53 +/- 0.00
Eval num_timesteps=760000, episode_reward=-301932.18 +/- 0.00
Eval num_timesteps=780000, episode_reward=-300428.83 +/- 0.00
Eval num_timesteps=800000, episode_reward=-280636.61 +/- 0.00
Eval num_timesteps=820000, episode_reward=-285224.01 +/- 0.00
Eval num_timesteps=840000, episode_reward=-283974.20 +/- 0.00
Eval num_timesteps=860000, episode_reward=-287972.99 +/- 0.00
Eval num_timesteps=880000, episode_reward=-283172.29 +/- 0.00
Eval num_timesteps=900000, episode_reward=-264442.47 +/- 0.00
Eval num_timesteps=920000, episode_reward=-256339.48 +/- 0.00
Eval num_timesteps=940000, episode_reward=-249445.10 +/- 0.00
Eval num_timesteps=960000, episode_reward=-243711.04 +/- 0.00
Eval num_timesteps=980000, episode_reward=-233070.28 +/- 0.00
Eval num_timesteps=1000000, episode_reward=-224442.97 +/- 0.00
Eval num_timesteps=1020000, episode_reward=-224175.50 +/- 0.00
Eval num_timesteps=1040000, episode_reward=-220900.09 +/- 0.00
Eval num_timesteps=1060000, episode_reward=-220033.15 +/- 0.00
Eval num_timesteps=1080000, episode_reward=-205636.68 +/- 0.00
Eval num_timesteps=1100000, episode_reward=-205460.35 +/- 0.00
Eval num_timesteps=1120000, episode_reward=-203783.63 +/- 0.00
Eval num_timesteps=1140000, episode_reward=-195630.60 +/- 0.00
Eval num_timesteps=1160000, episode_reward=-189969.90 +/- 0.00
Eval num_timesteps=1180000, episode_reward=-186634.11 +/- 0.00
Eval num_timesteps=1200000, episode_reward=-183558.20 +/- 0.00
Eval num_timesteps=1220000, episode_reward=-184132.82 +/- 0.00
Eval num_timesteps=1240000, episode_reward=-177266.06 +/- 0.00
Eval num_timesteps=1260000, episode_reward=-168542.24 +/- 0.00
Eval num_timesteps=1280000, episode_reward=-165737.88 +/- 0.00
Eval num_timesteps=1300000, episode_reward=-162644.74 +/- 0.00
Eval num_timesteps=1320000, episode_reward=-158304.63 +/- 0.00
Eval num_timesteps=1340000, episode_reward=-156978.42 +/- 0.00
Eval num_timesteps=1360000, episode_reward=-224957.04 +/- 0.00
Eval num_timesteps=1380000, episode_reward=-219756.24 +/- 0.00
Eval num_timesteps=1400000, episode_reward=-212231.59 +/- 0.00
Eval num_timesteps=1420000, episode_reward=-201100.08 +/- 0.00
Eval num_timesteps=1440000, episode_reward=-195273.37 +/- 0.00
Eval num_timesteps=1460000, episode_reward=-197183.56 +/- 0.00
Eval num_timesteps=1480000, episode_reward=-191081.43 +/- 0.00
Eval num_timesteps=1500000, episode_reward=-193580.60 +/- 0.00
Eval num_timesteps=1520000, episode_reward=-193985.91 +/- 0.00
Eval num_timesteps=1540000, episode_reward=-189548.56 +/- 0.00
Eval num_timesteps=1560000, episode_reward=-188241.78 +/- 0.00
Eval num_timesteps=1580000, episode_reward=-187291.57 +/- 0.00
Eval num_timesteps=1600000, episode_reward=-187184.35 +/- 0.00
Eval num_timesteps=1620000, episode_reward=-181100.66 +/- 0.00
Eval num_timesteps=1640000, episode_reward=-180299.47 +/- 0.00
Eval num_timesteps=1660000, episode_reward=-175172.24 +/- 0.00
Eval num_timesteps=1680000, episode_reward=-170174.57 +/- 0.00
Eval num_timesteps=1700000, episode_reward=-169571.76 +/- 0.00
Eval num_timesteps=1720000, episode_reward=-169392.33 +/- 0.00
Eval num_timesteps=1740000, episode_reward=-166388.34 +/- 0.00
Eval num_timesteps=1760000, episode_reward=-162851.90 +/- 0.00
Eval num_timesteps=1780000, episode_reward=-158129.45 +/- 0.00
Eval num_timesteps=1800000, episode_reward=-154394.75 +/- 0.00
Eval num_timesteps=1820000, episode_reward=-154754.72 +/- 0.00
Eval num_timesteps=1840000, episode_reward=-154958.63 +/- 0.00
Eval num_timesteps=1860000, episode_reward=-151650.01 +/- 0.00
Eval num_timesteps=1880000, episode_reward=-153792.96 +/- 0.00
Eval num_timesteps=1900000, episode_reward=-155874.28 +/- 0.00
Eval num_timesteps=1920000, episode_reward=-157034.10 +/- 0.00
Eval num_timesteps=1940000, episode_reward=-160310.13 +/- 0.00
Eval num_timesteps=1960000, episode_reward=-157270.78 +/- 0.00
Eval num_timesteps=1980000, episode_reward=-157088.56 +/- 0.00
Eval num_timesteps=2000000, episode_reward=-154983.26 +/- 0.00
Eval num_timesteps=2020000, episode_reward=-154628.26 +/- 0.00
Eval num_timesteps=2040000, episode_reward=-153649.73 +/- 0.00
Eval num_timesteps=2060000, episode_reward=-153767.86 +/- 0.00
Eval num_timesteps=2080000, episode_reward=-150663.12 +/- 0.00
Eval num_timesteps=2100000, episode_reward=-148993.35 +/- 0.00
Eval num_timesteps=2120000, episode_reward=-147196.47 +/- 0.00
Eval num_timesteps=2140000, episode_reward=-150071.06 +/- 0.00
Eval num_timesteps=2160000, episode_reward=-147595.56 +/- 0.00
Eval num_timesteps=2180000, episode_reward=-148330.81 +/- 0.00
Eval num_timesteps=2200000, episode_reward=-146863.71 +/- 0.00
Eval num_timesteps=2220000, episode_reward=-146539.45 +/- 0.00
Eval num_timesteps=2240000, episode_reward=-174460.51 +/- 0.00
Eval num_timesteps=2260000, episode_reward=-171565.55 +/- 0.00
Eval num_timesteps=2280000, episode_reward=-164201.90 +/- 0.00
Eval num_timesteps=2300000, episode_reward=-161946.98 +/- 0.00
Eval num_timesteps=2320000, episode_reward=-157157.18 +/- 0.00
Eval num_timesteps=2340000, episode_reward=-156908.28 +/- 0.00
Eval num_timesteps=2360000, episode_reward=-153938.94 +/- 0.00
Eval num_timesteps=2380000, episode_reward=-160603.20 +/- 0.00
Eval num_timesteps=2400000, episode_reward=-161750.23 +/- 0.00
Eval num_timesteps=2420000, episode_reward=-156198.82 +/- 0.00
Eval num_timesteps=2440000, episode_reward=-157591.52 +/- 0.00
Eval num_timesteps=2460000, episode_reward=-154327.65 +/- 0.00
Eval num_timesteps=2480000, episode_reward=-157518.90 +/- 0.00
Eval num_timesteps=2500000, episode_reward=-157891.80 +/- 0.00
Eval num_timesteps=2520000, episode_reward=-152334.12 +/- 0.00
Eval num_timesteps=2540000, episode_reward=-151065.06 +/- 0.00
Eval num_timesteps=2560000, episode_reward=-150255.23 +/- 0.00
Eval num_timesteps=2580000, episode_reward=-148422.64 +/- 0.00
Eval num_timesteps=2600000, episode_reward=-150298.93 +/- 0.00
Eval num_timesteps=2620000, episode_reward=-152803.27 +/- 0.00
Eval num_timesteps=2640000, episode_reward=-153388.31 +/- 0.00
Eval num_timesteps=2660000, episode_reward=-159427.89 +/- 0.00
Eval num_timesteps=2680000, episode_reward=-159992.44 +/- 0.00
Eval num_timesteps=2700000, episode_reward=-154614.74 +/- 0.00
Eval num_timesteps=2720000, episode_reward=-155927.04 +/- 0.00
Eval num_timesteps=2740000, episode_reward=-158293.44 +/- 0.00
Eval num_timesteps=2760000, episode_reward=-160629.93 +/- 0.00
Eval num_timesteps=2780000, episode_reward=-156557.14 +/- 0.00
Eval num_timesteps=2800000, episode_reward=-157139.37 +/- 0.00
Eval num_timesteps=2820000, episode_reward=-160676.66 +/- 0.00
Eval num_timesteps=2840000, episode_reward=-158476.53 +/- 0.00
Eval num_timesteps=2860000, episode_reward=-159482.17 +/- 0.00
Eval num_timesteps=2880000, episode_reward=-158357.67 +/- 0.00
Eval num_timesteps=2900000, episode_reward=-158189.63 +/- 0.00
Eval num_timesteps=2920000, episode_reward=-159510.66 +/- 0.00
Eval num_timesteps=2940000, episode_reward=-156325.97 +/- 0.00
Eval num_timesteps=2960000, episode_reward=-154303.05 +/- 0.00
Eval num_timesteps=2980000, episode_reward=-155802.03 +/- 0.00
Eval num_timesteps=3000000, episode_reward=-153969.40 +/- 0.00
Eval num_timesteps=3020000, episode_reward=-154435.81 +/- 0.00
Eval num_timesteps=3040000, episode_reward=-152973.47 +/- 0.00
Eval num_timesteps=3060000, episode_reward=-150248.50 +/- 0.00
Eval num_timesteps=3080000, episode_reward=-147715.57 +/- 0.00
Eval num_timesteps=3100000, episode_reward=-146675.87 +/- 0.00
Eval num_timesteps=3120000, episode_reward=-145514.29 +/- 0.00
Eval num_timesteps=3140000, episode_reward=-142012.82 +/- 0.00
Eval num_timesteps=3160000, episode_reward=-141055.28 +/- 0.00
Eval num_timesteps=3180000, episode_reward=-140779.44 +/- 0.00
Eval num_timesteps=3200000, episode_reward=-139698.97 +/- 0.00
Eval num_timesteps=3220000, episode_reward=-140506.12 +/- 0.00
Eval num_timesteps=3240000, episode_reward=-157190.54 +/- 0.00
Eval num_timesteps=3260000, episode_reward=-157322.60 +/- 0.00
Eval num_timesteps=3280000, episode_reward=-152624.91 +/- 0.00
Eval num_timesteps=3300000, episode_reward=-150452.55 +/- 0.00
Eval num_timesteps=3320000, episode_reward=-148062.83 +/- 0.00
Eval num_timesteps=3340000, episode_reward=-144261.23 +/- 0.00
Eval num_timesteps=3360000, episode_reward=-141283.79 +/- 0.00
Eval num_timesteps=3380000, episode_reward=-138976.55 +/- 0.00
Eval num_timesteps=3400000, episode_reward=-138942.84 +/- 0.00
Eval num_timesteps=3420000, episode_reward=-138760.08 +/- 0.00
Eval num_timesteps=3440000, episode_reward=-141024.17 +/- 0.00
Eval num_timesteps=3460000, episode_reward=-139359.69 +/- 0.00
Eval num_timesteps=3480000, episode_reward=-136618.94 +/- 0.00
Eval num_timesteps=3500000, episode_reward=-136437.79 +/- 0.00
Eval num_timesteps=3520000, episode_reward=-136921.87 +/- 0.00
Eval num_timesteps=3540000, episode_reward=-136406.36 +/- 0.00
Eval num_timesteps=3560000, episode_reward=-136844.17 +/- 0.00
Eval num_timesteps=3580000, episode_reward=-135881.88 +/- 0.00
Eval num_timesteps=3600000, episode_reward=-136313.07 +/- 0.00
Eval num_timesteps=3620000, episode_reward=-137110.15 +/- 0.00
Eval num_timesteps=3640000, episode_reward=-135674.73 +/- 0.00
Eval num_timesteps=3660000, episode_reward=-134959.45 +/- 0.00
Eval num_timesteps=3680000, episode_reward=-137215.43 +/- 0.00
Eval num_timesteps=3700000, episode_reward=-136440.54 +/- 0.00
Eval num_timesteps=3720000, episode_reward=-137572.81 +/- 0.00
Eval num_timesteps=3740000, episode_reward=-136734.90 +/- 0.00
Eval num_timesteps=3760000, episode_reward=-135809.56 +/- 0.00
Eval num_timesteps=3780000, episode_reward=-134899.06 +/- 0.00
Eval num_timesteps=3800000, episode_reward=-134460.21 +/- 0.00
Eval num_timesteps=3820000, episode_reward=-134289.36 +/- 0.00
Eval num_timesteps=3840000, episode_reward=-135089.33 +/- 0.00
Eval num_timesteps=3860000, episode_reward=-135749.28 +/- 0.00
Eval num_timesteps=3880000, episode_reward=-133812.57 +/- 0.00
Eval num_timesteps=3900000, episode_reward=-136159.64 +/- 0.00
Eval num_timesteps=3920000, episode_reward=-135415.63 +/- 0.00
Eval num_timesteps=3940000, episode_reward=-134390.73 +/- 0.00
Eval num_timesteps=3960000, episode_reward=-135741.10 +/- 0.00
Eval num_timesteps=3980000, episode_reward=-134271.05 +/- 0.00
Eval num_timesteps=4000000, episode_reward=-133874.24 +/- 0.00
Eval num_timesteps=4020000, episode_reward=-135207.42 +/- 0.00
Eval num_timesteps=4040000, episode_reward=-134402.08 +/- 0.00
Eval num_timesteps=4060000, episode_reward=-134366.98 +/- 0.00
Eval num_timesteps=4080000, episode_reward=-133530.30 +/- 0.00
Eval num_timesteps=4100000, episode_reward=-135917.43 +/- 0.00
Eval num_timesteps=4120000, episode_reward=-135209.23 +/- 0.00
Eval num_timesteps=4140000, episode_reward=-136813.82 +/- 0.00
Eval num_timesteps=4160000, episode_reward=-136577.77 +/- 0.00
Eval num_timesteps=4180000, episode_reward=-136541.97 +/- 0.00
Eval num_timesteps=4200000, episode_reward=-138476.29 +/- 0.00
Eval num_timesteps=4220000, episode_reward=-138876.33 +/- 0.00
Eval num_timesteps=4240000, episode_reward=-137235.87 +/- 0.00
Eval num_timesteps=4260000, episode_reward=-138770.61 +/- 0.00
Eval num_timesteps=4280000, episode_reward=-139502.12 +/- 0.00
Eval num_timesteps=4300000, episode_reward=-138581.58 +/- 0.00
Eval num_timesteps=4320000, episode_reward=-177510.19 +/- 0.00
Eval num_timesteps=4340000, episode_reward=-172824.73 +/- 0.00
Eval num_timesteps=4360000, episode_reward=-167825.59 +/- 0.00
Eval num_timesteps=4380000, episode_reward=-169312.70 +/- 0.00
Eval num_timesteps=4400000, episode_reward=-168905.72 +/- 0.00
Eval num_timesteps=4420000, episode_reward=-162983.43 +/- 0.00
Eval num_timesteps=4440000, episode_reward=-161252.04 +/- 0.00
Eval num_timesteps=4460000, episode_reward=-155677.47 +/- 0.00
Eval num_timesteps=4480000, episode_reward=-153391.43 +/- 0.00
Eval num_timesteps=4500000, episode_reward=-150974.33 +/- 0.00
Eval num_timesteps=4520000, episode_reward=-148236.29 +/- 0.00
Eval num_timesteps=4540000, episode_reward=-145213.14 +/- 0.00
Eval num_timesteps=4560000, episode_reward=-144319.22 +/- 0.00
Eval num_timesteps=4580000, episode_reward=-144435.31 +/- 0.00
Eval num_timesteps=4600000, episode_reward=-141641.35 +/- 0.00
Eval num_timesteps=4620000, episode_reward=-140963.98 +/- 0.00
Eval num_timesteps=4640000, episode_reward=-137434.25 +/- 0.00
Eval num_timesteps=4660000, episode_reward=-138003.52 +/- 0.00
Eval num_timesteps=4680000, episode_reward=-136155.72 +/- 0.00
Eval num_timesteps=4700000, episode_reward=-134829.28 +/- 0.00
Eval num_timesteps=4720000, episode_reward=-138993.91 +/- 0.00
Eval num_timesteps=4740000, episode_reward=-139548.50 +/- 0.00
Eval num_timesteps=4760000, episode_reward=-142814.56 +/- 0.00
Eval num_timesteps=4780000, episode_reward=-139920.73 +/- 0.00
Eval num_timesteps=4800000, episode_reward=-142352.98 +/- 0.00
Eval num_timesteps=4820000, episode_reward=-142725.38 +/- 0.00
Eval num_timesteps=4840000, episode_reward=-141504.05 +/- 0.00
Eval num_timesteps=4860000, episode_reward=-143949.60 +/- 0.00
Eval num_timesteps=4880000, episode_reward=-142632.63 +/- 0.00
Eval num_timesteps=4900000, episode_reward=-141280.41 +/- 0.00
Eval num_timesteps=4920000, episode_reward=-139487.67 +/- 0.00
Eval num_timesteps=4940000, episode_reward=-137367.38 +/- 0.00
Eval num_timesteps=4960000, episode_reward=-136909.55 +/- 0.00
Eval num_timesteps=4980000, episode_reward=-134400.21 +/- 0.00
Eval num_timesteps=5000000, episode_reward=-137518.35 +/- 0.00
Eval num_timesteps=5020000, episode_reward=-135223.77 +/- 0.00
Eval num_timesteps=5040000, episode_reward=-134662.98 +/- 0.00
Eval num_timesteps=5060000, episode_reward=-134683.62 +/- 0.00
Eval num_timesteps=5080000, episode_reward=-136856.79 +/- 0.00
Eval num_timesteps=5100000, episode_reward=-137117.34 +/- 0.00
Eval num_timesteps=5120000, episode_reward=-137505.86 +/- 0.00
Eval num_timesteps=5140000, episode_reward=-134650.75 +/- 0.00
Eval num_timesteps=5160000, episode_reward=-135177.57 +/- 0.00
Eval num_timesteps=5180000, episode_reward=-141004.69 +/- 0.00
Eval num_timesteps=5200000, episode_reward=-139962.44 +/- 0.00
Eval num_timesteps=5220000, episode_reward=-140063.84 +/- 0.00
Eval num_timesteps=5240000, episode_reward=-139880.17 +/- 0.00
Eval num_timesteps=5260000, episode_reward=-139081.46 +/- 0.00
Eval num_timesteps=5280000, episode_reward=-138768.11 +/- 0.00
Eval num_timesteps=5300000, episode_reward=-135829.59 +/- 0.00
Eval num_timesteps=5320000, episode_reward=-134692.29 +/- 0.00
Eval num_timesteps=5340000, episode_reward=-133257.18 +/- 0.00
Eval num_timesteps=5360000, episode_reward=-132231.51 +/- 0.00
Eval num_timesteps=5380000, episode_reward=-132454.86 +/- 0.00
Eval num_timesteps=5400000, episode_reward=-132784.70 +/- 0.00
Eval num_timesteps=5420000, episode_reward=-132078.70 +/- 0.00
Eval num_timesteps=5440000, episode_reward=-133699.83 +/- 0.00
Eval num_timesteps=5460000, episode_reward=-132292.11 +/- 0.00
Eval num_timesteps=5480000, episode_reward=-137408.66 +/- 0.00
Eval num_timesteps=5500000, episode_reward=-137305.52 +/- 0.00
Eval num_timesteps=5520000, episode_reward=-138094.74 +/- 0.00
Eval num_timesteps=5540000, episode_reward=-134286.80 +/- 0.00
Eval num_timesteps=5560000, episode_reward=-134700.05 +/- 0.00
Eval num_timesteps=5580000, episode_reward=-136499.53 +/- 0.00
Eval num_timesteps=5600000, episode_reward=-134032.02 +/- 0.00
Eval num_timesteps=5620000, episode_reward=-133479.69 +/- 0.00
Eval num_timesteps=5640000, episode_reward=-133781.84 +/- 0.00
Eval num_timesteps=5660000, episode_reward=-134983.73 +/- 0.00
Eval num_timesteps=5680000, episode_reward=-137901.12 +/- 0.00
Eval num_timesteps=5700000, episode_reward=-142288.73 +/- 0.00
