Eval num_timesteps=20000, episode_reward=-378952.20 +/- 0.00
Eval num_timesteps=40000, episode_reward=-379274.99 +/- 0.00
Eval num_timesteps=60000, episode_reward=-897399.64 +/- 0.00
Eval num_timesteps=80000, episode_reward=-660632.69 +/- 0.00
Eval num_timesteps=100000, episode_reward=-867523.53 +/- 0.00
Eval num_timesteps=120000, episode_reward=-668810.65 +/- 0.00
Eval num_timesteps=140000, episode_reward=-658197.01 +/- 0.00
Eval num_timesteps=160000, episode_reward=-771303.31 +/- 0.00
Eval num_timesteps=180000, episode_reward=-676312.30 +/- 0.00
Eval num_timesteps=200000, episode_reward=-663161.52 +/- 0.00
Eval num_timesteps=220000, episode_reward=-669819.19 +/- 0.00
Eval num_timesteps=240000, episode_reward=-664981.48 +/- 0.00
Eval num_timesteps=260000, episode_reward=-768161.32 +/- 0.00
Eval num_timesteps=280000, episode_reward=-880622.95 +/- 0.00
Eval num_timesteps=300000, episode_reward=-880622.95 +/- 0.00
Eval num_timesteps=320000, episode_reward=-832983.33 +/- 0.00
Eval num_timesteps=340000, episode_reward=-669480.44 +/- 0.00
Eval num_timesteps=360000, episode_reward=-666701.71 +/- 0.00
Eval num_timesteps=380000, episode_reward=-867523.53 +/- 0.00
Eval num_timesteps=400000, episode_reward=-658026.00 +/- 0.00
Eval num_timesteps=420000, episode_reward=-891774.24 +/- 0.00
Eval num_timesteps=440000, episode_reward=-990979.69 +/- 0.00
Eval num_timesteps=460000, episode_reward=-1114341.63 +/- 0.00
Eval num_timesteps=480000, episode_reward=-1111459.41 +/- 0.00
Eval num_timesteps=500000, episode_reward=-1193979.23 +/- 0.00
Eval num_timesteps=520000, episode_reward=-857850.82 +/- 0.00
Eval num_timesteps=540000, episode_reward=-1193979.23 +/- 0.00
Eval num_timesteps=560000, episode_reward=-1193979.23 +/- 0.00
Eval num_timesteps=580000, episode_reward=-1193979.23 +/- 0.00
Eval num_timesteps=600000, episode_reward=-1193979.23 +/- 0.00
Eval num_timesteps=620000, episode_reward=-837868.41 +/- 0.00
Eval num_timesteps=640000, episode_reward=-1148954.43 +/- 0.00
Eval num_timesteps=660000, episode_reward=-1174700.91 +/- 0.00
Eval num_timesteps=680000, episode_reward=-920164.06 +/- 0.00
Eval num_timesteps=700000, episode_reward=-742789.60 +/- 0.00
Eval num_timesteps=720000, episode_reward=-593100.23 +/- 0.00
Eval num_timesteps=740000, episode_reward=-1148574.31 +/- 0.00
Eval num_timesteps=760000, episode_reward=-880272.34 +/- 0.00
Eval num_timesteps=780000, episode_reward=-1193979.23 +/- 0.00
Eval num_timesteps=800000, episode_reward=-1193979.23 +/- 0.00
Eval num_timesteps=820000, episode_reward=-1193979.23 +/- 0.00
Eval num_timesteps=840000, episode_reward=-1193979.23 +/- 0.00
Eval num_timesteps=860000, episode_reward=-1193979.23 +/- 0.00
Eval num_timesteps=880000, episode_reward=-1193979.23 +/- 0.00
Eval num_timesteps=900000, episode_reward=-1193979.23 +/- 0.00
Eval num_timesteps=920000, episode_reward=-1193979.23 +/- 0.00
Eval num_timesteps=940000, episode_reward=-1193979.23 +/- 0.00
Eval num_timesteps=960000, episode_reward=-1193979.23 +/- 0.00
Eval num_timesteps=980000, episode_reward=-936631.07 +/- 0.00
Eval num_timesteps=1000000, episode_reward=-1193979.23 +/- 0.00
Eval num_timesteps=1020000, episode_reward=-1189907.72 +/- 0.00
Eval num_timesteps=1040000, episode_reward=-1193979.23 +/- 0.00
Eval num_timesteps=1060000, episode_reward=-961066.20 +/- 0.00
Eval num_timesteps=1080000, episode_reward=-867523.53 +/- 0.00
Eval num_timesteps=1100000, episode_reward=-821463.27 +/- 0.00
Eval num_timesteps=1120000, episode_reward=-981663.86 +/- 0.00
Eval num_timesteps=1140000, episode_reward=-1087148.38 +/- 0.00
Eval num_timesteps=1160000, episode_reward=-824360.29 +/- 0.00
Eval num_timesteps=1180000, episode_reward=-867523.53 +/- 0.00
Eval num_timesteps=1200000, episode_reward=-861733.04 +/- 0.00
Eval num_timesteps=1220000, episode_reward=-867523.53 +/- 0.00
Eval num_timesteps=1240000, episode_reward=-867523.53 +/- 0.00
Eval num_timesteps=1260000, episode_reward=-867523.53 +/- 0.00
Eval num_timesteps=1280000, episode_reward=-791357.36 +/- 0.00
Eval num_timesteps=1300000, episode_reward=-867523.53 +/- 0.00
Eval num_timesteps=1320000, episode_reward=-603848.05 +/- 0.00
Eval num_timesteps=1340000, episode_reward=-910695.76 +/- 0.00
Eval num_timesteps=1360000, episode_reward=-880622.95 +/- 0.00
Eval num_timesteps=1380000, episode_reward=-768833.77 +/- 0.00
Eval num_timesteps=1400000, episode_reward=-880622.95 +/- 0.00
Eval num_timesteps=1420000, episode_reward=-880622.95 +/- 0.00
Eval num_timesteps=1440000, episode_reward=-880622.95 +/- 0.00
Eval num_timesteps=1460000, episode_reward=-880622.95 +/- 0.00
Eval num_timesteps=1480000, episode_reward=-880622.95 +/- 0.00
Eval num_timesteps=1500000, episode_reward=-1058131.57 +/- 0.00
Eval num_timesteps=1520000, episode_reward=-985423.42 +/- 0.00
Eval num_timesteps=1540000, episode_reward=-1200255.93 +/- 0.00
Eval num_timesteps=1560000, episode_reward=-1200255.93 +/- 0.00
Eval num_timesteps=1580000, episode_reward=-1190206.56 +/- 0.00
Eval num_timesteps=1600000, episode_reward=-1060401.19 +/- 0.00
Eval num_timesteps=1620000, episode_reward=-1143754.95 +/- 0.00
Eval num_timesteps=1640000, episode_reward=-1055074.45 +/- 0.00
Eval num_timesteps=1660000, episode_reward=-1016531.62 +/- 0.00
Eval num_timesteps=1680000, episode_reward=-779553.74 +/- 0.00
Eval num_timesteps=1700000, episode_reward=-737529.38 +/- 0.00
Eval num_timesteps=1720000, episode_reward=-814190.60 +/- 0.00
Eval num_timesteps=1740000, episode_reward=-807423.52 +/- 0.00
Eval num_timesteps=1760000, episode_reward=-1200639.83 +/- 0.00
Eval num_timesteps=1780000, episode_reward=-1200639.79 +/- 0.00
Eval num_timesteps=1800000, episode_reward=-1065232.41 +/- 0.00
Eval num_timesteps=1820000, episode_reward=-1200639.83 +/- 0.00
Eval num_timesteps=1840000, episode_reward=-1049258.63 +/- 0.00
Eval num_timesteps=1860000, episode_reward=-1162145.89 +/- 0.00
Eval num_timesteps=1880000, episode_reward=-1200639.83 +/- 0.00
Eval num_timesteps=1900000, episode_reward=-1050947.36 +/- 0.00
Eval num_timesteps=1920000, episode_reward=-1049321.75 +/- 0.00
Eval num_timesteps=1940000, episode_reward=-1200639.83 +/- 0.00
Eval num_timesteps=1960000, episode_reward=-1094569.10 +/- 0.00
